OlinkID,cv_percent,UniProt,Assay,Panel,Retain
OID20419,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
OID20458,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
OID20460,24.723663701784666,O14904,WNT9A,Inflammation,Unique Protein
OID20461,25.622946262790535,P26951,IL3RA,Inflammation,Unique Protein
OID20462,50.50284146528743,Q9Y3P8,SIT1,Inflammation,Unique Protein
OID20463,50.38439245319846,Q96DB9,FXYD5,Inflammation,Unique Protein
